wellid,YEAR,AF Pumped
321658111000901,1988,111.2
321658111000901,1989,77.43
321658111000901,1990,137.57
321658111000901,1991,113.0
321658111000901,1992,15.59
321658111000901,1993,0.03
321658111000901,1994,121.52
321658111000901,1995,44.17
321658111000901,1996,161.3
321658111000901,1997,43.61
321658111000901,1998,412.0
321658111000901,1999,509.0
321658111000901,2000,586.0
321658111000901,2001,492.0
321658111000901,2002,0.33
321658111000901,2003,32.29
321658111000901,2004,194.41
321658111000901,2005,327.44
321658111000901,2006,120.86
321658111000901,2007,265.79
321658111000901,2008,255.84
321658111000901,2009,210.48
321658111000901,2010,199.37
321658111000901,2011,149.92
321658111000901,2012,228.47
321658111000901,2013,185.2
321658111000901,2014,146.08
321658111000901,2015,95.72
321658111000901,2016,71.41
321658111000901,2017,84.3
321658111000901,2018,57.16
321658111000901,2019,96.5
321817111135101,1995,15.69
321817111135101,1996,3.29
321817111135101,1997,24.62
321817111135101,1998,23.04
321817111135101,1999,26.11
321817111135101,2000,25.84
321817111135101,2001,0.12
321819110592201,1984,15.41
321819110592201,1985,130.0
321819110592201,1986,127.0
321819110592201,1987,65.0
321819110592201,1988,205.6
321819110592201,1989,218.3
321819110592201,1990,154.4
321819110592201,1991,120.85
321819110592201,1992,176.0
321819110592201,1993,225.0
321819110592201,1994,92.0
321819110592201,1995,197.4
321819110592201,1996,187.8
321819110592201,1997,211.1
321819110592201,1998,219.8
321819110592201,1999,231.0
321819110592201,2000,163.1
321819110592201,2001,164.6
321819110592201,2002,202.1
321819110592201,2003,175.9
321819110592201,2004,154.97
321819110592201,2005,138.0
321819110592201,2006,186.21
321819110592201,2007,184.57
321819110592201,2008,189.37
321819110592201,2009,164.14
321819110592201,2010,195.67
321819110592201,2011,202.99
321819110592201,2012,168.67
321819110592201,2013,0.4
321819110592201,2014,252.15
321819110592201,2015,251.62
321819110592201,2016,179.28
321819110592201,2017,246.0
321819110592201,2018,211.08
321819110592201,2019,224.41
321823110485001,1984,10.9
321823110485001,1985,19.13
321823110485001,1986,15.26
321823110485001,1987,14.21
321823110485001,1988,12.82
321823110485001,1989,16.0
321823110485001,1990,17.5
321823110485001,1991,8.0
321823110485001,1992,6.94
321823110485001,1993,14.4
321823110485001,1994,14.0
321823110485001,1995,14.25
321823110485001,1996,13.18
321823110485001,1997,20.03
321823110485001,2000,9.9
321823110485001,2001,6.92
321823110485001,2002,6.86
321823110485001,2003,11.24
321823110485001,2004,18.08
321823110485001,2005,10.04
321823110485001,2006,20.08
321823110485001,2007,19.03
321823110485001,2008,21.54
321823110485001,2009,7.7
321823110485001,2010,11.81
321823110485001,2011,16.52
321823110485001,2012,7.0
321823110485001,2013,7.0
321823110485001,2014,7.0
321823110485001,2015,12.76
321836111155101,2006,4.0
321836111155101,2007,9.5
321836111155101,2008,376.93
321836111155101,2009,551.19
321836111155101,2010,721.9
321836111155101,2011,605.68
321836111155101,2012,548.66
321836111155101,2013,388.87
321836111155101,2014,488.28
321836111155101,2015,312.47
321836111155101,2016,451.65
321836111155101,2017,489.25
321836111155101,2018,539.52
321836111155101,2019,534.71
321845111004501,1984,60.43
321845111004501,1985,542.0
321845111004501,1986,525.0
321845111004501,1987,481.0
